ID_Orden,ID_Cliente,Edad,ID_Producto,Pais,Fecha_Registro,Fecha_Ultima_Compra,Cantidad_Cancelaciones,Estado_Suscripcion,Fecha_Orden,Precio_Unitario,Cantidad,Frecuencia_Compra,Categoria_Preferida,Nombre_Producto,Categoria,Genero,Total_Orden,Target
ORD5041,CUST1041,55,PROD241,pakistan,2022-07-19,2025-03-28,5,active,2024-12-02,65.07,7,5,sports,Dumbbells,sports,female,455.48999999999995,0
ORD5042,CUST1042,57,PROD242,germany,2023-05-23,2025-03-15,4,paused,2023-08-25,1954.64,1,36,home,Cricket Bat,sports,other,1954.64,0
ORD5043,CUST1043,55,PROD243,uk,2023-04-22,2024-05-28,4,active,2024-12-24,18.98,7,45,sports,Smartphone,electronics,female,132.86,0
ORD5044,CUST1044,47,PROD244,germany,2022-03-11,2023-12-11,5,cancelled,2025-07-09,654.56,3,48,beauty,Football,sports,male,1963.6799999999998,1
ORD5045,CUST1045,29,PROD245,pakistan,2020-11-30,2022-05-22,0,active,2023-10-24,334.17,5,6,home,Headphones,electronics,male,1670.8500000000001,0
ORD5046,CUST1046,19,PROD246,pakistan,2023-03-21,2025-01-14,0,active,2024-04-29,219.75,5,37,beauty,Jacket,clothing,female,1098.75,0
ORD5047,CUST1047,38,PROD247,canada,2021-07-13,2022-07-09,1,active,2021-07-23,223.05,7,23,home,Lamp,home,male,1561.3500000000001,0
ORD5048,CUST1048,48,PROD248,pakistan,2023-04-10,2025-04-18,5,paused,2025-06-09,149.88,4,35,sports,Headphones,electronics,male,599.52,0
ORD5049,CUST1049,58,PROD249,germany,2022-06-17,2025-01-04,4,active,2024-11-26,165.27,9,30,sports,Bluetooth Speaker,electronics,male,1487.43,0
ORD5050,CUST1050,27,PROD250,pakistan,2020-08-29,2024-08-15,0,paused,2023-02-09,222.62,8,37,beauty,Gaming Console,electronics,female,1780.96,0
ORD5051,CUST1051,54,PROD251,canada,2022-12-05,2023-07-13,2,active,2025-06-05,45.17,2,14,beauty,Bluetooth Speaker,electronics,male,90.34,0
ORD5052,CUST1052,67,PROD252,usa,2020-09-09,2025-05-28,3,active,2022-03-19,136.95,8,4,clothing,Basketball,sports,female,1095.6,0
ORD5053,CUST1053,51,PROD253,canada,2020-10-05,2021-08-16,4,cancelled,2025-04-03,323.04,3,8,beauty,Nail Polish,beauty,female,969.1200000000001,1
ORD5054,CUST1054,59,PROD254,uk,2023-05-03,2024-04-26,0,cancelled,2023-12-24,104.0,3,1,electronics,Smartphone,electronics,male,312.0,1
ORD5055,CUST1055,42,PROD255,usa,2022-04-09,2022-08-04,4,cancelled,2023-04-10,251.6,3,23,beauty,Lamp,home,female,754.8,1
ORD5056,CUST1056,38,PROD256,usa,2023-08-15,2023-12-28,0,active,2025-04-18,472.04,2,17,electronics,Shirt,clothing,male,944.08,0
ORD5057,CUST1057,23,PROD257,germany,2023-02-27,2025-02-11,5,active,2023-03-14,21.85,8,1,home,Tennis Racket,sports,female,174.8,0
ORD5058,CUST1058,18,PROD258,usa,2021-04-22,2023-05-18,3,active,2023-02-04,295.22,5,18,electronics,Jeans,clothing,male,1476.1000000000001,0
ORD5059,CUST1059,41,PROD259,canada,2020-08-30,2023-09-02,0,paused,2023-09-30,362.26,5,13,beauty,Running Shoes,sports,female,1811.3,0
ORD5060,CUST1060,35,PROD260,canada,2021-08-16,2021-09-21,1,cancelled,2021-11-22,286.73,6,42,beauty,Cycling Helmet,sports,female,1720.38,1
ORD5061,CUST1061,39,PROD261,canada,2021-12-29,2024-01-10,3,active,2022-04-05,34.68,9,2,home,Smartphone,electronics,female,312.12,0
ORD5062,CUST1062,33,PROD262,uk,2021-09-09,2024-02-02,4,paused,2022-11-14,370.97,4,13,electronics,Sneakers,clothing,female,1483.88,0
ORD5063,CUST1063,34,PROD263,canada,2020-11-26,2022-03-10,4,active,2021-08-17,841.95,2,9,sports,Camera,electronics,female,1683.9,0
ORD5064,CUST1064,22,PROD264,germany,2022-07-08,2023-02-03,4,cancelled,2024-03-31,1795.65,1,16,clothing,Sofa,home,female,1795.65,1
ORD5065,CUST1065,56,PROD265,pakistan,2020-11-16,2025-06-12,1,paused,2022-08-15,459.56,3,7,sports,Smartwatch,electronics,male,1378.68,0
ORD5066,CUST1066,54,PROD266,pakistan,2023-07-13,2024-04-10,3,cancelled,2024-08-08,193.86,5,9,home,Hoodie,clothing,female,969.3000000000001,1
ORD5067,CUST1067,66,PROD267,uk,2021-09-24,2024-10-30,4,active,2024-06-22,180.63,3,39,clothing,Cycling Helmet,sports,female,541.89,0
ORD5068,CUST1068,45,PROD268,canada,2023-05-27,2024-09-11,5,active,2024-09-28,1217.67,1,40,home,Lipstick,beauty,other,1217.67,0
ORD5069,CUST1069,19,PROD269,canada,2022-01-25,2025-06-29,4,active,2025-01-07,262.1,6,33,clothing,Smartwatch,electronics,male,1572.6000000000001,0
ORD5070,CUST1070,33,PROD270,india,2023-07-29,2024-12-18,3,active,2025-04-17,466.13,3,25,home,Jeans,clothing,female,1398.3899999999999,0
ORD5071,CUST1071,62,PROD271,india,2021-10-09,2024-03-01,2,active,2022-12-25,365.16,3,13,sports,Laptop,electronics,female,1095.48,0
ORD5072,CUST1072,34,PROD272,canada,2020-12-14,2021-04-01,3,active,2023-07-10,24.08,5,28,beauty,Bluetooth Speaker,electronics,male,120.39999999999999,0
ORD5073,CUST1073,57,PROD273,pakistan,2021-11-01,2022-10-20,0,cancelled,2025-07-21,167.47,5,13,sports,Sofa,home,male,837.35,1
ORD5074,CUST1074,21,PROD274,india,2021-08-19,2025-05-21,2,active,2022-09-11,44.36,6,27,sports,Bluetooth Speaker,electronics,female,266.15999999999997,0
ORD5075,CUST1075,43,PROD275,usa,2022-08-20,2024-02-20,1,cancelled,2023-08-16,157.7,5,32,home,Dumbbells,sports,female,788.5,1
ORD5076,CUST1076,63,PROD276,usa,2021-05-03,2022-08-06,5,cancelled,2025-07-30,244.5,6,19,clothing,Blender,home,male,1467.0,1
ORD5077,CUST1077,35,PROD277,uk,2021-07-17,2024-12-08,2,cancelled,2024-10-28,1519.11,1,47,sports,Tablet,electronics,female,1519.11,1
ORD5078,CUST1078,55,PROD278,uk,2021-04-11,2023-12-29,2,cancelled,2024-08-06,160.26,8,44,beauty,Face Wash,beauty,female,1282.08,1
ORD5079,CUST1079,54,PROD279,germany,2020-10-05,2025-05-21,5,active,2024-04-06,154.0,7,21,sports,Foundation,beauty,male,1078.0,0
ORD5080,CUST1080,53,PROD280,germany,2021-11-02,2023-10-10,0,active,2024-10-02,119.16,7,4,electronics,Perfume,beauty,male,834.12,0
ORD5081,CUST1081,20,PROD281,usa,2023-07-01,2023-12-18,5,active,2025-02-16,68.21,5,8,home,Refrigerator,home,male,341.04999999999995,0
ORD5082,CUST1082,18,PROD282,uk,2021-09-23,2022-02-20,0,active,2025-06-07,112.63,7,20,electronics,Headphones,electronics,male,788.41,0
ORD5083,CUST1083,44,PROD283,uk,2021-10-03,2023-11-08,0,active,2022-04-23,269.36,6,16,beauty,Basketball,sports,female,1616.16,0
ORD5084,CUST1084,20,PROD284,pakistan,2021-12-02,2025-04-26,0,active,2023-12-14,1032.49,1,1,sports,Dress,clothing,male,1032.49,0
ORD5085,CUST1085,51,PROD285,germany,2021-04-04,2023-11-27,0,active,2022-09-01,253.07,2,7,sports,Tablet,electronics,female,506.14,0
ORD5086,CUST1086,55,PROD286,germany,2021-01-15,2024-06-21,1,active,2021-08-25,189.41,8,3,home,Laptop,electronics,female,1515.28,0
ORD5087,CUST1087,52,PROD287,pakistan,2022-04-05,2023-06-20,1,cancelled,2024-03-27,1495.51,1,45,home,Refrigerator,home,female,1495.51,1
ORD5088,CUST1088,31,PROD288,germany,2021-10-16,2022-11-08,4,cancelled,2024-12-07,384.7,2,38,home,Gaming Console,electronics,female,769.4,1
ORD5089,CUST1089,46,PROD289,india,2021-08-28,2023-09-07,5,active,2024-01-16,256.4,6,29,home,Sofa,home,male,1538.3999999999999,0
ORD5090,CUST1090,61,PROD290,pakistan,2023-07-07,2023-08-08,0,active,2025-07-14,289.7,4,14,clothing,Chair,home,female,1158.8,0
ORD5091,CUST1091,30,PROD291,canada,2021-02-27,2023-06-26,2,active,2024-02-25,27.0,5,8,electronics,Dining Table,home,female,135.0,0
ORD5092,CUST1092,56,PROD292,canada,2021-09-13,2022-05-22,2,active,2024-11-29,279.83,3,28,clothing,Moisturizer,beauty,female,839.49,0
ORD5093,CUST1093,24,PROD293,canada,2023-05-29,2024-06-28,0,paused,2024-10-22,290.29,5,30,sports,Headphones,electronics,male,1451.45,0
ORD5094,CUST1094,68,PROD294,pakistan,2022-07-14,2024-12-25,2,active,2024-07-05,259.26,6,38,home,Yoga Mat,sports,female,1555.56,0
ORD5095,CUST1095,52,PROD295,canada,2022-10-20,2024-11-11,5,cancelled,2025-07-09,159.25,5,40,sports,Gaming Console,electronics,male,796.25,1
ORD5096,CUST1096,43,PROD296,usa,2021-02-15,2021-10-19,0,active,2025-01-25,62.41,3,30,sports,Tennis Racket,sports,female,187.23,0
ORD5097,CUST1097,35,PROD297,pakistan,2021-03-31,2022-11-21,4,active,2022-05-22,107.73,5,26,home,Smartwatch,electronics,male,538.65,0
ORD5098,CUST1098,66,PROD298,germany,2021-09-15,2022-08-07,5,paused,2022-05-28,556.57,2,40,sports,T-Shirt,clothing,male,1113.14,0
ORD5099,CUST1099,32,PROD299,uk,2021-09-18,2022-04-15,2,active,2022-01-19,990.57,1,5,sports,Headphones,electronics,female,990.57,0
ORD5100,CUST1100,57,PROD300,uk,2020-11-28,2024-01-20,2,cancelled,2022-03-10,140.71,6,26,home,Nail Polish,beauty,female,844.26,1
ORD5101,CUST1101,49,PROD301,usa,2022-04-15,2024-09-20,2,active,2025-03-09,38.59,9,48,sports,Yoga Mat,sports,male,347.31000000000006,0
ORD5102,CUST1102,62,PROD302,usa,2023-08-14,2024-07-08,1,active,2025-05-18,196.79,8,35,clothing,Moisturizer,beauty,female,1574.32,0
ORD5103,CUST1103,36,PROD303,germany,2023-06-18,2025-04-06,4,active,2024-01-27,84.34,5,41,sports,Basketball,sports,female,421.70000000000005,0
ORD5104,CUST1104,51,PROD304,usa,2022-07-27,2023-10-17,2,paused,2025-01-04,760.96,1,13,electronics,Foundation,beauty,male,760.96,0
ORD5105,CUST1105,54,PROD305,india,2022-10-01,2024-11-10,4,active,2024-03-12,716.3,2,24,home,Smartphone,electronics,female,1432.6,0
ORD5106,CUST1106,27,PROD306,uk,2022-09-15,2025-02-21,0,cancelled,2025-06-28,396.36,5,34,sports,Chair,home,female,1981.8000000000002,1
ORD5107,CUST1107,42,PROD307,germany,2020-10-16,2022-03-08,0,active,2021-07-04,805.84,2,39,home,Cycling Helmet,sports,female,1611.68,0
ORD5108,CUST1108,51,PROD308,india,2022-07-04,2024-11-11,3,cancelled,2024-07-23,107.67,4,26,clothing,Vacuum Cleaner,home,other,430.68,1
ORD5109,CUST1109,39,PROD309,india,2022-11-06,2024-04-05,1,cancelled,2024-09-14,233.34,6,44,clothing,Perfume,beauty,male,1400.04,1
ORD5110,CUST1110,23,PROD310,canada,2022-10-29,2023-08-21,1,active,2024-04-05,353.8,3,11,electronics,Perfume,beauty,female,1061.4,0
ORD5111,CUST1111,59,PROD311,india,2023-01-27,2023-12-26,0,paused,2025-01-11,221.28,8,41,clothing,Jeans,clothing,female,1770.24,0
ORD5112,CUST1112,29,PROD312,canada,2021-02-13,2023-10-05,4,paused,2024-11-27,247.78,8,28,electronics,Lipstick,beauty,female,1982.24,0
ORD5113,CUST1113,50,PROD313,india,2023-08-11,2025-03-07,0,cancelled,2023-10-26,1810.76,1,13,clothing,Yoga Mat,sports,male,1810.76,1
ORD5114,CUST1114,31,PROD314,pakistan,2021-12-16,2023-05-27,3,active,2023-11-01,164.62,6,15,sports,Sofa,home,female,987.72,0
ORD5115,CUST1115,65,PROD315,canada,2022-07-26,2022-10-01,3,active,2023-06-15,57.48,5,42,beauty,Tablet,electronics,female,287.4,0
ORD5116,CUST1116,28,PROD316,canada,2022-11-29,2024-09-28,0,active,2024-05-16,431.26,3,3,electronics,Vacuum Cleaner,home,female,1293.78,0
ORD5117,CUST1117,31,PROD317,germany,2020-12-30,2021-06-09,0,cancelled,2023-03-02,205.69,8,7,clothing,Dress,clothing,male,1645.52,1
ORD5118,CUST1118,45,PROD318,canada,2022-03-01,2024-09-17,1,active,2022-08-22,338.72,1,22,home,Hoodie,clothing,male,338.72,0
ORD5119,CUST1119,19,PROD319,usa,2021-09-12,2024-06-28,1,active,2022-10-24,174.49,9,25,clothing,Lipstick,beauty,female,1570.41,0
ORD5120,CUST1120,64,PROD320,pakistan,2020-11-16,2022-08-06,5,cancelled,2024-07-06,102.01,6,1,electronics,Tablet,electronics,male,612.0600000000001,1
ORD5121,CUST1121,23,PROD321,uk,2022-10-30,2024-04-27,5,active,2023-02-18,389.99,5,3,home,Shirt,clothing,male,1949.95,0
ORD5122,CUST1122,22,PROD322,uk,2022-12-03,2024-12-19,2,cancelled,2022-12-07,21.57,6,49,sports,Face Wash,beauty,male,129.42000000000002,1
ORD5123,CUST1123,68,PROD323,usa,2023-04-25,2024-09-24,1,cancelled,2025-03-26,649.18,2,38,electronics,Gaming Console,electronics,male,1298.36,1
ORD5124,CUST1124,61,PROD324,canada,2023-02-19,2025-04-23,3,cancelled,2025-07-29,964.88,2,5,clothing,Running Shoes,sports,female,1929.76,1
ORD5125,CUST1125,52,PROD325,uk,2023-05-20,2024-02-08,0,active,2025-05-11,201.06,8,28,home,Lamp,home,male,1608.48,0
ORD5126,CUST1126,35,PROD326,uk,2021-06-09,2024-10-18,1,active,2022-05-31,178.81,1,41,electronics,Smartwatch,electronics,female,178.81,0
ORD5127,CUST1127,45,PROD327,germany,2022-07-25,2023-02-27,2,cancelled,2023-11-14,167.69,5,49,electronics,Headphones,electronics,female,838.45,1
ORD5128,CUST1128,49,PROD328,germany,2022-09-28,2022-10-12,2,active,2024-03-03,19.56,6,43,beauty,Bluetooth Speaker,electronics,female,117.35999999999999,0
ORD5129,CUST1129,31,PROD329,uk,2021-04-24,2024-01-10,0,active,2023-08-04,170.27,3,34,electronics,Shampoo,beauty,male,510.81000000000006,0
ORD5130,CUST1130,33,PROD330,germany,2022-10-20,2024-08-07,3,cancelled,2022-10-31,968.05,2,3,clothing,Smartwatch,electronics,male,1936.1,1
ORD5131,CUST1131,21,PROD331,uk,2021-11-08,2025-01-25,0,cancelled,2025-04-14,184.34,6,13,home,Tablet,electronics,female,1106.04,1
ORD5132,CUST1132,59,PROD332,usa,2022-07-13,2023-06-12,3,active,2025-08-08,332.14,4,3,electronics,Skirt,clothing,female,1328.56,0
ORD5133,CUST1133,46,PROD333,germany,2021-06-29,2022-11-04,2,active,2025-06-02,42.65,5,34,home,Tennis Racket,sports,female,213.25,0
ORD5134,CUST1134,35,PROD334,uk,2021-09-05,2024-11-18,1,active,2022-11-28,21.3,9,43,beauty,Cycling Helmet,sports,male,191.70000000000002,0
ORD5135,CUST1135,51,PROD335,usa,2023-05-20,2024-05-17,5,cancelled,2024-06-25,111.78,7,28,clothing,Microwave,home,male,782.46,1
ORD5136,CUST1136,51,PROD336,india,2022-01-10,2022-07-08,1,active,2023-04-06,103.26,7,25,beauty,Face Wash,beauty,female,722.82,0
ORD5137,CUST1137,39,PROD337,usa,2021-05-02,2024-07-11,3,active,2025-06-30,5.48,9,11,electronics,Headphones,electronics,female,49.32000000000001,0
ORD5138,CUST1138,36,PROD338,germany,2023-04-07,2023-05-09,3,active,2025-07-11,151.96,5,16,sports,Cycling Helmet,sports,female,759.8000000000001,0
ORD5139,CUST1139,49,PROD339,pakistan,2023-06-07,2023-07-19,3,active,2025-03-23,152.78,9,12,electronics,Sneakers,clothing,female,1375.02,0
ORD5140,CUST1140,55,PROD340,uk,2022-02-14,2024-02-25,2,active,2024-12-05,179.86,7,3,clothing,Cycling Helmet,sports,male,1259.02,0
ORD5141,CUST1141,19,PROD341,germany,2023-03-24,2024-11-03,4,cancelled,2023-12-30,218.72,8,9,clothing,Sneakers,clothing,female,1749.76,1
ORD5142,CUST1142,47,PROD342,uk,2023-06-02,2025-03-28,0,cancelled,2023-08-24,177.72,4,46,clothing,T-Shirt,clothing,female,710.88,1
ORD5143,CUST1143,53,PROD343,india,2021-10-20,2025-04-26,5,active,2024-09-16,224.37,4,30,electronics,Conditioner,beauty,female,897.48,0
ORD5144,CUST1144,46,PROD344,india,2021-11-10,2024-06-26,3,active,2025-08-19,283.6,7,18,electronics,Dress,clothing,female,1985.2000000000003,0
ORD5145,CUST1145,48,PROD345,germany,2021-08-07,2024-09-05,2,cancelled,2023-07-06,167.0,9,23,clothing,Skirt,clothing,male,1503.0,1
ORD5146,CUST1146,47,PROD346,usa,2021-03-17,2023-10-30,1,active,2023-01-25,121.06,6,24,beauty,Jeans,clothing,female,726.36,0
ORD5147,CUST1147,26,PROD347,germany,2022-08-24,2025-02-28,5,active,2025-07-19,433.59,3,28,beauty,Headphones,electronics,other,1300.77,0
ORD5148,CUST1148,20,PROD348,india,2021-12-05,2024-07-25,1,active,2025-02-16,230.28,5,17,beauty,Lamp,home,male,1151.4,0
ORD5149,CUST1149,51,PROD349,germany,2021-09-23,2024-02-05,2,cancelled,2024-01-24,8.24,6,37,clothing,Nail Polish,beauty,male,49.44,1
ORD5150,CUST1150,20,PROD350,germany,2021-09-22,2022-10-07,3,cancelled,2024-05-05,634.46,3,40,clothing,Shirt,clothing,male,1903.38,1
ORD5151,CUST1151,49,PROD351,usa,2020-12-26,2022-05-01,3,active,2021-05-16,156.77,8,40,sports,Nail Polish,beauty,female,1254.16,0
ORD5152,CUST1152,27,PROD352,pakistan,2021-11-09,2023-01-18,5,active,2024-01-25,172.17,7,41,home,Microwave,home,female,1205.1899999999998,0
ORD5153,CUST1153,52,PROD353,india,2022-07-27,2024-07-08,2,active,2022-09-15,1308.29,1,18,clothing,Jacket,clothing,female,1308.29,0
ORD5154,CUST1154,24,PROD354,uk,2020-10-13,2024-12-20,1,cancelled,2021-03-17,773.0,2,42,home,Face Wash,beauty,other,1546.0,1
ORD5155,CUST1155,54,PROD355,uk,2022-08-28,2025-01-30,1,cancelled,2023-07-28,37.35,1,7,home,Sneakers,clothing,female,37.35,1
ORD5156,CUST1156,42,PROD356,pakistan,2021-10-06,2024-08-12,0,active,2022-09-18,210.51,2,1,home,Jacket,clothing,male,421.02,0
ORD5157,CUST1157,55,PROD357,canada,2022-07-17,2024-02-07,4,cancelled,2022-07-29,184.94,7,45,home,Hoodie,clothing,male,1294.58,1
ORD5158,CUST1158,35,PROD358,pakistan,2020-11-22,2021-10-14,4,active,2021-04-09,34.88,5,24,beauty,Lamp,home,female,174.4,0
ORD5159,CUST1159,31,PROD359,pakistan,2022-04-09,2024-08-09,3,active,2024-05-17,23.82,9,1,clothing,Foundation,beauty,male,214.38,0
ORD5160,CUST1160,21,PROD360,germany,2022-05-22,2022-11-02,1,active,2022-08-07,241.3,6,21,clothing,Yoga Mat,sports,male,1447.8000000000002,0
ORD5161,CUST1161,65,PROD361,canada,2022-07-30,2022-08-13,5,active,2025-07-27,292.25,3,24,beauty,Tennis Racket,sports,female,876.75,0
ORD5162,CUST1162,30,PROD362,canada,2020-09-30,2023-09-30,4,cancelled,2022-03-04,139.58,6,44,clothing,Blender,home,female,837.48,1
ORD5163,CUST1163,38,PROD363,pakistan,2023-07-02,2024-12-21,4,cancelled,2023-10-16,400.08,4,38,clothing,Running Shoes,sports,female,1600.32,1
ORD5164,CUST1164,64,PROD364,germany,2022-11-19,2023-03-14,3,paused,2023-08-01,901.2,2,34,electronics,Vacuum Cleaner,home,male,1802.4,0
ORD5165,CUST1165,45,PROD365,germany,2023-05-12,2024-08-10,5,active,2025-06-11,597.67,3,9,electronics,Blender,home,male,1793.0099999999998,0
ORD5166,CUST1166,41,PROD366,uk,2021-09-03,2024-11-23,2,cancelled,2023-02-04,77.76,3,3,electronics,Running Shoes,sports,male,233.28000000000003,1
ORD5167,CUST1167,38,PROD367,pakistan,2021-11-23,2023-06-13,1,cancelled,2022-12-02,15.8,6,8,home,Cricket Bat,sports,male,94.80000000000001,1
ORD5168,CUST1168,62,PROD368,germany,2021-01-23,2023-01-04,2,active,2023-08-09,151.98,5,36,home,Running Shoes,sports,other,759.9,0
ORD5169,CUST1169,47,PROD369,india,2021-05-02,2022-10-28,5,active,2021-05-16,35.32,6,49,sports,Shirt,clothing,male,211.92000000000002,0
ORD5170,CUST1170,65,PROD370,uk,2021-05-09,2024-05-01,5,active,2025-02-27,161.03,9,47,electronics,Basketball,sports,female,1449.27,0
ORD5171,CUST1171,36,PROD371,uk,2021-04-17,2024-06-12,1,cancelled,2022-09-17,621.17,2,2,home,Sneakers,clothing,female,1242.34,1
ORD5172,CUST1172,64,PROD372,canada,2022-02-19,2023-04-15,0,cancelled,2024-02-28,261.65,5,28,sports,Skirt,clothing,female,1308.25,1
ORD5173,CUST1173,38,PROD373,pakistan,2022-05-12,2024-12-02,5,cancelled,2025-05-11,332.86,5,42,beauty,Lamp,home,male,1664.3000000000002,1
